"F1","F2","F3","F4","F5","B1","B2","F6","F7","L"
"96.15","124","565457","7","09","1","1","146","-22","0"
"53.16","840","536945","5","20","1","1","128","-7","0"
"45.00","840","052173","1","03","1","1","128","-7","0"
"25.00","840","765156","1","05","1","1","125","11","0"
"23.42","840","072528","5","01","1","1","117","7","0"
"26.48","840","553607","4","20","1","1","131","19","0"
"116.49","840","551780","6","01","1","1","128","-7","0"
"52.95","840","765156","7","01","1","1","131","-7","0"
"211.80","840","597515","4","07","1","1","124","3","0"
"100.00","840","053126","6","02","1","1","117","8","0"
"105.90","840","667519","3","21","1","1","129","13","0"
"105.90","840","241854","6","04","1","1","128","-7","0"
"45.00","840","377514","4","02","1","1","127","5","0"
"75.21","840","243355","2","06","1","1","124","-29","0"
"52.95","840","432542","3","01","1","1","131","1","0"
"26.48","840","172795","7","18","1","1","122","-8","0"
"40.00","840","053126","3","20","1","1","128","-7","0"
"26.48","840","865516","1","05","1","1","128","-7","0"
"28.00","840","065311","4","06","1","1","133","-3","0"
"100.00","840","554670","5","02","1","1","128","-7","0"
"105.90","840","965518","4","22","1","1","122","-7","0"
"264.75","840","415189","7","06","1","1","130","6","0"
"20.00","840","553793","7","17","1","1","128","-7","0"
"52.95","840","551080","7","08","1","1","128","-7","0"
"30.47","840","165413","6","00","1","1","128","-7","0"
"105.90","840","265287","2","18","1","1","131","1","0"
"105.90","840","243355","4","07","1","1","124","-29","0"
"52.95","840","927544","3","06","1","1","132","13","0"
"25.12","840","165146","5","19","1","1","127","12","0"
"50.00","840","241854","1","21","1","1","131","17","0"
"795.78","840","241854","7","05","1","1","128","-7","0"
"21.18","840","257531","5","01","1","1","126","8","0"
"25.00","840","551780","5","16","1","1","127","-32","0"
"2.45","380","502095","7","03","0","1","75","47","0"
"26.48","840","595854","4","19","1","1","128","-7","0"
"26.48","840","551080","7","20","1","1","128","-7","0"
"35.12","840","551080","3","06","1","1","122","-7","0"
"21.30","840","153545","7","20","1","1","128","-7","0"
"100.00","840","551780","6","21","1","1","128","-7","0"
"21.18","840","053126","2","21","1","1","129","-15","0"
"21.18","840","058352","3","06","1","1","126","-30","0"
"26.48","840","551780","3","21","1","1","128","-7","0"
"106.58","840","054654","5","23","1","1","128","-7","0"
"50.12","840","551754","2","05","1","1","130","10","0"
"212.48","840","551780","1","07","1","1","128","-15","0"
"158.85","840","551780","3","18","1","1","128","-7","0"
"26.60","840","572517","4","02","1","1","128","-7","0"
"21.18","840","522345","4","20","1","1","125","1","0"
"425.00","840","465175","6","04","1","1","128","-7","0"
"63.75","840","241854","6","23","1","1","131","2","0"
"100.54","840","321045","1","21","1","1","123","-29","0"
"158.85","840","054819","5","17","1","1","128","-7","0"
"21.18","840","054654","3","15","1","1","128","-7","0"
"100.00","840","243355","3","04","1","1","128","-7","0"
"52.95","840","593095","6","23","1","1","127","-32","0"
"25.00","840","551780","6","13","1","1","125","4","0"
"47.66","840","551780","4","11","1","1","123","-7","0"
"53.16","840","522527","4","04","1","1","128","-7","0"
"52.95","124","052430","3","15","0","1","127","-33","0"
"529.50","840","765218","4","06","0","0","109","-10","0"
"26.48","840","051025","6","21","1","1","122","5","0"
"26.60","840","241854","6","01","1","1","128","-7","0"
"26.48","840","737520","4","02","1","1","129","5","0"
"25.00","840","126355","5","06","1","1","132","-2","0"
"97.97","840","551780","7","18","1","1","132","1","0"
"21.30","840","915517","3","07","1","1","123","3","0"
"106.58","840","243355","7","00","1","1","125","9","0"
"26.60","840","241854","6","22","1","1","131","18","0"
"21.18","840","147595","6","06","1","1","128","-7","0"
"25.12","840","737520","5","05","1","1","130","14","0"
"68.84","840","572517","5","05","1","1","128","-7","0"
"52.95","840","551780","4","02","1","1","128","-7","0"
"52.95","840","324853","3","00","1","1","128","-7","0"
"7.08","76","315447","4","03","1","1","66","43","0"
"31.77","840","553487","5","20","1","1","120","-7","0"
"53.16","840","165275","6","03","1","1","124","-3","0"
"212.48","840","432542","6","10","1","1","129","1","0"
"26.60","840","432542","1","00","1","1","119","-6","0"
"26.48","840","992512","5","23","1","1","128","-7","0"
"52.95","840","551080","4","16","1","1","128","-7","0"
"42.36","840","765156","5","00","1","1","130","7","0"
"21.18","840","927544","6","21","1","1","129","6","0"
"21.18","840","551080","6","18","1","1","128","-7","0"
"53.16","840","551780","7","22","1","1","134","20","0"
"265.43","840","551780","7","02","1","1","125","-5","0"
"211.80","840","915595","7","02","1","1","128","-7","0"
"20.00","840","377514","4","21","1","1","128","-7","0"
"106.58","840","551780","7","05","1","1","136","-7","0"
"63.54","840","243355","6","08","1","1","119","-5","0"
"53.16","840","243355","7","15","1","1","127","12","0"
"47.66","840","551780","5","02","1","1","129","3","0"
"264.75","840","650854","5","01","1","1","128","-7","0"
"26.48","840","551780","3","21","1","1","128","-7","0"
"530.47","840","551780","7","07","1","1","128","-7","0"
"26.48","840","051223","2","08","1","1","135","-34","0"
"50.00","840","942855","5","00","1","1","128","-7","0"
"42.48","840","551080","5","10","1","1","128","-7","0"
"26.48","840","107512","7","19","1","1","128","-3","0"
"106.58","840","551780","6","23","0","0","135","14","0"
"25.00","840","653354","7","11","1","1","123","3","0"
"200.68","840","465175","7","03","1","1","128","-7","0"
"200.68","840","765156","1","06","1","1","128","-7","0"
"847.20","840","243355","1","00","1","1","120","-8","0"
"26.48","840","172795","6","22","1","1","128","-7","0"
"26.48","840","054654","5","06","1","1","124","6","0"
"105.90","840","415466","2","04","1","1","125","4","0"
"52.95","840","551780","7","23","1","1","120","-7","0"
"26.48","840","551080","5","02","1","1","128","-7","0"
"250.00","840","815855","1","17","1","1","117","7","0"
"1059.00","840","551780","7","20","1","1","128","-7","0"
"52.95","840","051223","3","05","1","1","136","-7","0"
"26.48","840","243355","3","12","1","1","128","-7","0"
"16.06","840","165413","4","18","1","1","123","1","0"
"21.30","840","552751","3","17","1","1","128","-7","0"
"26.48","840","269295","3","08","1","1","128","-7","0"
"31.77","840","992512","2","21","1","1","125","0","0"
"95.31","840","165466","4","08","1","1","131","17","0"
"50.00","840","377514","3","23","1","1","125","-8","0"
"79.43","840","992512","6","22","1","1","131","19","0"
"31.77","840","262531","4","12","1","1","128","-7","0"
"1059.00","840","051223","1","18","1","1","128","-7","0"
"264.75","840","243355","6","03","1","1","134","-4","0"
"26.48","840","572517","7","18","1","1","124","-29","0"
"25.12","840","172795","2","09","1","1","128","-7","0"
"53.16","840","465175","1","00","1","1","129","7","0"
"26.60","840","241854","6","05","1","1","128","-7","0"
"1059.00","840","241854","3","23","1","1","130","16","0"
"26.48","840","697537","5","11","1","1","129","-16","0"
"100.61","840","165466","2","03","1","1","122","-28","0"
"53.16","840","051475","4","06","1","1","133","2","0"
"200.00","840","815855","3","19","1","1","130","9","0"
"300.68","840","551780","2","00","1","1","128","-7","0"
"105.90","840","551780","7","22","1","1","125","11","0"
"100.00","840","051223","2","03","1","1","129","-5","0"
"79.97","840","553125","4","20","1","1","128","12","0"
"21.18","840","262195","7","06","1","1","128","-7","0"
"40.19","840","052752","6","09","1","1","131","2","0"
"23.30","840","432542","5","20","1","1","128","-7","0"
"50.00","840","552751","1","21","1","1","122","-8","0"
"25.00","840","051780","4","16","1","1","124","-3","0"
"21.18","840","551780","7","20","1","1","132","11","0"
"52.95","840","241854","5","20","1","1","128","-7","0"
"26.48","840","377514","7","16","1","1","123","-22","0"
"21.18","840","277510","3","22","1","1","129","3","0"
"318.51","840","053126","7","03","1","1","128","-7","0"
"31.77","840","551780","5","02","1","1","132","18","0"
"26.48","840","551080","5","00","1","1","128","-7","0"
"21.18","840","054654","6","19","1","1","128","-7","0"
"16.43","840","165413","1","05","0","0","141","99","0"
"20.00","840","052187","5","01","1","1","124","-29","0"
"200.00","840","065121","7","01","1","1","128","-7","0"
"158.85","840","055992","5","01","1","1","133","5","0"
"18.39","76","566352","6","19","1","1","67","46","0"
"26.48","840","055992","4","22","1","1","125","7","0"
"25.12","840","053126","7","09","1","1","116","8","0"
"76.92","124","055249","7","04","1","1","133","10","0"
"79.43","840","977545","6","06","1","1","129","14","0"
"26.48","840","052752","4","02","1","1","128","-7","0"
"21.68","840","552751","5","21","1","1","122","-8","0"
"37.31","124","565457","7","16","1","1","133","10","1"
"26.48","840","107512","5","22","1","1","128","-7","0"
"32.12","840","065311","5","21","1","1","128","-7","0"
"125.00","840","865496","1","20","1","1","134","-5","0"
"37.07","840","432542","5","23","1","1","131","2","0"
"106.58","840","241854","2","02","1","1","131","18","0"
"53.16","840","053126","6","00","1","1","128","-7","0"
"22.36","840","551780","6","19","1","1","124","-29","0"
"106.58","840","051223","6","22","1","1","125","-17","0"
"212.48","840","551780","1","02","1","1","123","5","0"
"264.75","840","436854","3","02","1","1","130","16","0"
"212.48","840","432542","6","21","1","1","128","4","0"
"26.60","840","275195","6","03","1","1","128","-7","0"
"26.48","840","815855","5","00","1","1","132","0","0"
"52.95","840","282517","5","06","1","1","128","-7","0"
"26.60","840","054654","6","05","1","1","128","-7","0"
"21.18","840","324853","4","20","1","1","128","-7","0"
"21.18","840","107745","4","02","1","1","128","-7","0"
"40.00","840","377514","2","09","1","1","128","-7","0"
"31.77","840","736852","7","13","1","1","123","3","0"
"200.00","840","141354","6","03","1","1","131","8","0"
"7.21","76","623353","1","13","1","1","76","46","0"
"21.18","840","312595","2","05","1","1","128","-7","0"
"50.00","840","053126","5","10","1","1","115","9","0"
"250.68","840","663354","5","22","1","1","128","-7","0"
"17.75","840","403245","5","09","1","1","129","-16","0"
"21.18","840","215275","7","02","0","0","113","211","0"
"98.49","840","602544","1","03","1","1","130","15","0"
"42.36","840","052752","4","01","1","1","128","-7","0"
"22.79","840","165413","7","03","1","1","130","-22","0"
"42.36","840","155495","7","20","1","1","128","-7","0"
"3.60","76","054282","6","20","1","1","69","46","0"
"26.48","840","053126","3","02","1","1","118","7","0"
"23.70","840","372853","6","21","0","0","","","0"
"105.90","840","567557","5","13","1","1","128","-7","0"
"23.90","840","165413","1","23","1","1","131","6","0"
"100.00","840","144295","2","17","1","1","137","-3","0"
"7.07","276","215234","5","07","0","0","","","0"
"21.18","840","465175","4","03","1","1","128","-7","0"
"21.18","840","767559","7","23","1","1","129","-16","0"
"26.60","840","053487","7","03","1","1","128","-7","0"
"25.42","840","282853","4","07","1","1","128","2","0"
"12.05","840","165413","5","20","1","1","128","-7","0"
"21.18","840","053126","7","02","1","1","115","9","0"
"21.18","392","465285","7","16","0","1","127","12","0"
"211.80","840","815855","3","21","1","1","124","5","0"
"21.18","840","551080","6","17","1","1","128","-7","0"
"50.00","840","241854","1","13","1","1","136","1","0"
"38.46","124","054159","6","05","1","1","133","10","0"
"26.48","840","621354","7","05","1","1","128","-7","0"
"31.89","840","465175","6","07","1","1","132","7","0"
"31.89","840","615113","7","16","1","1","128","-7","0"
"21.18","840","369195","2","22","1","1","128","-7","0"
"26.48","840","551780","1","22","1","1","132","18","0"
"76.92","124","551607","3","00","1","1","133","10","0"
"94.25","840","051423","4","22","1","1","128","-7","0"
"212.48","840","243355","7","00","1","1","117","7","0"
"25.00","840","552751","7","11","1","1","119","-6","0"
"100.00","840","915595","5","03","1","1","128","-7","0"
"105.90","840","042548","5","21","1","1","132","18","0"
"25.00","840","054654","2","23","1","1","123","5","0"
"49.77","840","551080","7","22","1","1","128","-7","0"
"40.12","840","551780","1","05","1","1","128","-7","0"
"25.00","840","615113","7","20","1","1","123","2","0"
"52.95","840","602544","6","23","1","1","128","-7","0"
"26.48","840","053126","2","02","1","1","118","8","0"
"26.48","840","927544","3","19","1","1","128","-7","0"
"100.00","840","290795","2","08","1","1","128","-7","0"
"50.00","840","156351","3","05","1","1","128","-7","0"
"106.58","840","551473","6","03","1","1","131","18","0"
"109.76","840","551080","3","06","1","1","128","-7","0"
"40.01","840","572517","1","06","1","1","123","-28","0"
"25.00","840","156351","2","15","1","1","126","-31","0"
"52.95","840","552751","2","07","1","1","128","-7","0"
"26.48","840","165275","5","06","1","1","125","-5","0"
"23.42","840","915262","6","21","1","1","128","-7","0"
"21.18","840","275195","4","03","1","1","123","5","0"
"753.85","124","465583","3","23","1","1","133","10","0"
"25.00","840","815539","5","22","1","1","128","-7","0"
"90.56","840","052752","6","16","1","1","132","2","0"
"230.77","124","553163","5","02","1","1","140","-15","0"
"26.48","840","572517","5","02","1","1","128","-7","0"
"52.95","840","551080","6","10","1","1","128","-7","0"
"21.30","840","551780","6","05","1","1","128","-7","0"
"2.46","276","215234","5","15","0","1","86","48","0"
"26.48","840","051223","5","03","1","1","124","-29","0"
"20.00","840","551780","2","04","1","1","128","-7","0"
"52.95","840","706351","2","07","1","1","129","12","0"
"26.60","840","552751","6","15","1","1","117","-8","0"
"59.30","840","055946","6","04","1","1","131","16","0"
"26.48","840","051223","3","23","1","1","127","-33","0"
"1000.00","840","551780","6","23","1","1","128","-7","0"
"63.54","840","243355","7","19","1","1","128","-7","0"
"25.12","840","051223","6","00","1","1","128","-7","0"
"35.07","840","465175","7","03","1","1","131","6","0"
"58.25","840","257531","4","20","1","1","128","-7","0"
"53.16","840","054654","5","06","1","1","128","-7","0"
"31.77","840","432542","6","14","1","1","129","5","0"
"25.12","840","054551","1","03","1","1","128","-7","0"
"1000.00","840","053780","1","08","1","1","122","-22","0"
"53.16","840","054654","3","02","1","1","129","13","0"
"52.95","840","551780","6","00","1","1","122","-6","0"
"61.69","76","053454","4","07","1","1","66","43","0"
"2.41","76","165350","1","16","1","1","66","43","0"
"52.95","840","262195","6","23","1","1","130","17","0"
"34.72","840","165413","6","06","1","1","125","6","0"
"105.90","840","551780","7","04","1","1","123","-7","0"
"20.12","840","551080","5","07","1","1","129","-5","0"
"211.80","840","551780","3","08","1","1","124","-28","0"
"25.00","840","551780","7","07","1","1","128","-7","0"
"26.60","840","315174","1","00","1","1","123","-28","0"
"212.48","840","241854","5","23","1","1","130","1","0"
"53.16","840","551080","6","06","1","1","132","18","0"
"85.26","840","551780","2","22","1","1","127","-33","0"
"23.30","840","072528","7","16","1","1","117","7","0"
"21.18","840","243355","5","23","1","1","132","18","0"
"53.16","840","465175","6","17","1","1","132","7","0"
"25.00","840","554650","1","22","1","1","129","3","0"
"250.00","840","551780","6","21","1","1","131","-7","0"
"21.18","840","552751","4","11","1","1","128","-7","0"
"37.31","124","565457","4","20","1","1","143","-24","0"
"21.18","840","551780","7","10","1","1","111","-68","0"
"21.18","840","054917","7","02","1","1","132","5","0"
"106.58","840","106855","1","23","1","1","127","12","0"
"53.16","840","551780","7","04","1","1","131","2","0"
"264.75","840","415189","7","11","1","1","131","2","0"
"26.48","840","992512","5","18","1","1","128","-7","0"
"158.85","840","551780","3","17","1","1","128","-7","0"
"18.75","840","486351","5","04","1","1","123","5","0"
"21.18","840","815855","5","01","1","1","128","-7","0"
"26.48","840","551080","3","05","1","1","128","-7","0"
"53.16","840","551780","6","04","1","1","130","8","0"
"530.47","840","551780","2","10","1","1","128","-7","0"
"30.00","840","243355","5","22","1","1","128","-7","0"
"26.48","840","324853","5","09","1","1","131","8","0"
"52.95","840","551780","6","18","1","1","128","-7","0"
"37.19","840","595854","7","05","1","1","134","-4","0"
"20.00","724","548695","5","23","0","1","124","-29","0"
"26.60","840","215109","5","19","1","1","128","-7","0"
"26.48","840","053126","6","07","1","1","128","-7","0"
"100.54","840","165466","1","00","1","1","128","-7","0"
"26.48","840","466045","5","20","1","1","127","-5","0"
"53.16","840","054917","1","05","1","1","132","6","0"
"25.12","840","552751","3","06","1","1","128","-7","0"
"25.12","840","403245","7","23","1","1","128","-32","0"
"153.56","840","147595","6","21","1","1","128","-7","0"
"130.68","840","432542","6","09","1","1","129","5","0"
"37.07","840","551473","5","06","1","1","129","7","0"
"52.95","840","227526","6","15","1","1","123","-23","0"
"26.48","840","552751","7","16","1","1","128","-7","0"
"17.75","840","885354","3","23","1","1","131","6","0"
"26.48","840","572517","7","20","1","1","128","-7","0"
"529.50","840","243355","2","09","1","1","136","-5","0"
"148.26","840","312595","2","01","1","1","128","-7","0"
"26.60","840","054654","6","20","1","1","124","0","0"
"21.30","840","987512","5","18","1","1","135","-33","0"
"31.77","840","241854","6","07","1","1","128","4","0"
"23.42","840","241854","2","05","1","1","129","5","0"
"37.19","840","665380","6","23","1","1","122","-26","0"
"52.95","840","415152","3","10","1","1","128","-7","0"
"26.60","840","403245","7","20","1","1","128","-33","0"
"26.48","840","053126","5","01","1","1","128","-7","0"
"25.12","840","215140","1","07","1","1","125","4","0"
"52.95","840","595854","6","20","1","1","123","-23","0"
"211.80","840","110853","5","16","1","1","128","-7","0"
"26.48","840","218445","3","01","1","1","128","-7","0"
"23.52","840","165413","3","05","1","1","118","8","0"
"105.90","840","663854","5","21","1","1","128","-7","0"
"26.48","840","415152","6","19","1","1","128","-7","0"
"21.18","840","241854","6","02","1","1","128","-7","0"
"21.30","840","621354","7","12","1","1","123","-29","0"
"192.31","124","148795","5","21","1","1","133","10","0"
"1059.00","840","241854","6","04","1","1","122","-28","0"
"25.00","840","042548","5","01","1","1","130","16","0"
"21.18","840","551780","7","20","1","1","130","10","0"
"21.18","840","053126","6","02","1","1","115","9","0"
"1059.00","840","309545","2","11","1","1","128","-7","0"
"25.12","840","215275","6","01","1","1","128","-7","0"
"50.00","840","172795","6","00","1","1","128","-7","0"
"26.48","840","926352","5","20","1","1","128","-7","0"
"137.67","840","241854","4","22","1","1","126","7","0"
"2.45","76","515305","2","19","1","1","66","43","0"
"31.77","840","127853","6","19","1","1","128","-7","0"
"212.48","840","551780","6","03","1","1","118","7","0"
"42.36","840","432542","7","19","1","1","128","-7","0"
"132.38","840","243355","5","13","1","1","130","11","0"
"20.00","840","182547","5","00","1","1","131","11","0"
"42.36","840","290995","5","12","1","1","128","-7","0"
"21.18","840","554038","5","13","1","1","128","-7","0"
"500.81","840","287495","5","03","1","1","128","-32","0"
"211.80","840","436854","1","09","1","1","124","-29","0"
"211.80","840","595854","7","06","1","1","133","0","0"
"106.58","840","551780","7","09","1","1","128","-7","0"
"26.48","840","111851","6","18","1","1","132","6","0"
"27.00","840","241854","3","09","1","1","127","-32","0"
"21.18","840","243355","7","00","1","1","128","-7","0"
"52.95","840","239355","7","17","1","1","115","9","0"
"26.48","840","927544","7","19","1","1","132","11","0"
"26.48","840","554038","5","17","1","1","128","-7","0"
"169.44","124","365198","7","07","0","1","123","8","0"
"211.80","840","565463","1","00","1","1","128","-7","0"
"26.48","840","054654","7","05","1","1","123","5","0"
"250.00","840","551080","7","06","1","1","130","16","0"
"53.16","840","551780","5","07","1","1","128","-7","0"
"26.48","840","715112","7","20","1","1","131","4","0"
"26.48","840","551780","7","20","1","1","128","-7","0"
"25.00","840","465175","1","22","1","1","128","-7","0"
"26.48","840","572517","7","02","1","1","128","-7","0"
"25.12","840","377514","6","20","1","1","128","-7","0"
"106.58","840","551080","1","07","1","1","131","17","0"
"31.77","840","054917","4","20","1","1","128","-7","0"
"106.58","840","403245","6","20","1","1","128","-7","0"
"794.25","840","865524","6","16","1","1","128","-7","0"
"42.36","840","065311","4","20","1","1","122","-7","0"
"26.48","840","551780","1","01","1","1","132","18","0"
"33.12","840","377514","3","03","1","1","128","-7","0"
"26.60","840","551455","1","19","1","1","128","-7","0"
"34.95","840","072528","6","03","1","1","117","7","0"
"100.00","840","515528","4","01","1","1","128","-7","0"
"105.90","840","054819","5","21","1","1","124","5","0"
"53.16","840","369355","7","01","0","0","","","0"
"65.66","840","262529","3","21","1","1","128","-7","0"
"50.12","840","053126","6","01","1","1","132","6","0"
"100.00","840","551780","6","10","1","1","126","13","0"
"1000.00","840","551780","1","21","1","1","132","18","0"
"114.37","840","551780","1","02","1","1","128","-7","0"
"21.30","840","165367","6","04","1","1","135","6","0"
"105.90","840","915129","2","23","1","1","131","17","0"
"26.48","840","147595","6","19","1","1","128","-7","0"
"30.18","840","051223","3","08","1","1","123","-28","0"
"23.08","124","608853","2","19","1","1","133","10","0"
"1059.00","840","243355","7","23","1","1","128","-7","0"
"52.95","840","152511","2","21","1","1","134","-4","0"
"21.18","840","367345","5","16","1","1","130","-9","0"
"105.90","840","165466","3","23","1","1","128","-7","0"
"200.00","840","241854","3","00","1","1","129","-5","0"
"30.00","840","051423","2","20","1","1","128","4","0"
"42.36","840","551780","6","03","1","1","128","-7","0"
"50.00","840","421795","5","22","1","1","120","-8","0"
"105.90","840","551780","5","03","1","1","131","1","0"
"18.45","756","487195","2","17","1","1","137","97","0"
"200.68","840","515528","3","05","1","1","132","17","0"
"105.90","840","551780","4","03","1","1","128","-7","0"
"25.12","840","277510","5","20","1","1","132","11","0"
"106.58","840","551780","7","16","1","1","132","1","0"
"212.48","840","165466","4","00","1","1","128","-7","0"
"264.75","840","107512","5","03","1","1","128","-7","0"
"21.18","840","149995","6","01","1","1","129","12","0"
"26.48","840","290995","1","10","1","1","128","-7","0"
"52.95","840","992512","5","04","1","1","132","18","0"
"85.26","840","551780","5","09","1","1","123","-22","0"
"25.12","840","815855","6","17","1","1","130","16","0"
"21.18","840","053126","5","04","1","1","120","5","0"
"105.90","840","552751","2","21","1","1","123","-9","0"
"26.60","840","551780","1","07","0","0","","","0"
"212.48","840","107512","7","04","1","1","131","2","0"
"1059.00","840","241854","2","04","1","1","130","7","0"
"211.80","840","551780","7","07","1","1","130","16","0"
"53.16","840","241854","7","19","1","1","132","17","0"
"50.12","840","552751","2","01","1","1","128","-7","0"
"47.66","840","052173","5","19","1","1","128","-7","0"
"52.95","840","054654","2","03","1","1","128","-7","0"
"21.30","840","767559","5","05","1","1","129","-16","0"
"26.60","840","551780","7","10","1","1","127","-4","0"
"21.30","840","403245","1","00","1","1","127","-32","0"
"26.48","840","551080","4","22","1","1","115","9","0"
"79.97","724","548695","1","01","0","1","128","-7","0"
"105.58","840","243355","7","08","1","1","129","12","0"
"30.00","840","455845","6","00","1","1","124","-29","0"
"35.00","840","065311","4","13","1","1","128","-7","0"
"52.95","840","551780","5","06","1","1","128","-32","0"
"37.31","124","565457","3","21","1","1","139","-33","0"
"26.48","840","241854","6","04","1","1","128","-7","0"
"21.18","840","815855","4","02","1","1","128","-7","0"
"57.69","124","565457","4","22","1","1","133","10","0"
"21.18","840","551780","1","06","1","1","122","-3","0"
"25.00","840","595854","4","07","1","1","128","-7","0"
"31.89","840","193351","3","00","1","1","128","-7","0"
"58.25","840","051223","3","20","1","1","118","8","0"
"26.48","840","241854","2","06","1","1","132","11","0"
"106.58","840","257531","7","04","1","1","125","9","0"
"21.18","840","736852","7","04","1","1","119","-1","0"
"794.25","840","551780","1","04","1","1","123","7","0"
"26.48","840","054654","7","06","1","1","128","-7","0"
"53.16","840","765156","7","20","1","1","128","-7","0"
"153.56","840","147595","5","09","1","1","127","12","0"
"105.90","840","241854","5","05","1","1","136","-7","0"
"132.38","840","239145","6","18","1","1","128","-7","0"
"26.48","840","815855","2","07","1","1","117","9","0"
"529.50","840","051223","2","01","1","1","130","16","0"
"264.75","840","185352","5","06","1","1","127","-33","0"
"211.80","840","551780","6","22","1","1","128","-7","0"
"26.60","840","551780","5","08","1","1","129","1","0"
"211.80","840","065311","5","09","1","1","128","-7","0"
"100.00","840","415152","3","22","1","1","122","-7","0"
"35.00","840","403245","5","10","1","1","128","-7","0"
"52.95","840","051780","3","06","1","1","122","-7","0"
"50.12","840","552750","7","08","1","1","128","-7","0"
"44.05","32","165239","3","08","1","1","55","31","0"
"21.18","840","551780","2","19","1","1","123","-23","0"
"53.16","840","241854","4","22","1","1","128","-7","0"
"52.95","840","054336","4","02","1","1","131","16","0"
"25.00","840","185352","2","08","1","1","128","-7","0"
"53.16","840","551780","6","22","1","1","122","7","0"
"41.30","840","552622","4","21","1","1","128","-7","0"
"40.36","840","551780","5","03","1","1","122","-7","0"
"53.16","840","239145","5","02","1","1","125","-3","0"
"42.36","840","269295","7","20","1","1","127","-32","0"
"26.60","840","051223","7","20","1","1","90","90","0"
"105.90","840","117549","1","08","1","1","124","-30","0"
"159.53","840","107512","4","14","1","1","123","-28","0"
"42.48","840","551780","2","19","1","1","127","-33","0"
